timestamp,throughput,loss_rate,rtt
0,6.99,0.051,104.83
1,6.37,0.065,79.78
2,4.88,0.004,61.15
3,8.53,0.006,94.04
4,8.34,0.009,94.95
5,4.21,0.051,31.9
6,4.72,0.034,88.03
7,7.1,0.043,77.79
8,4.73,0.002,134.4
9,3.18,0.006,44.64
10,3.13,0.006,95.91
11,8.77,0.014,75.02
12,4.39,0.037,78.47
13,4.24,0.03,69.65
14,7.14,0.057,74.93
15,6.64,0.029,115.02
16,3.68,0.03,38.73
17,5.89,0.046,137.79
18,5.05,0.086,136.47
19,7.6,0.008,135.23
20,8.82,0.052,42.84
21,7.13,0.078,43.74
22,3.61,0.01,41.28
23,5.8,0.088,73.16
24,9.31,0.011,30.67
25,8.32,0.071,32.38
26,7.87,0.095,81.01
27,9.78,0.089,49.37
28,6.68,0.023,41.2
29,3.95,0.06,48.01
30,7.7,0.074,70.91
31,3.52,0.034,147.35
32,6.56,0.059,135.02
33,6.78,0.011,55.72
34,7.23,0.079,45.54
35,6.27,0.097,148.49
36,4.21,0.013,124.22
37,8.02,0.08,34.06
38,4.6,0.057,102.06
39,3.8,0.092,86.65
40,7.67,0.05,90.08
41,4.17,0.055,43.67
42,5.34,0.044,120.31
43,8.75,0.014,63.99
44,6.04,0.052,97.8
45,6.45,0.064,62.63
46,7.28,0.071,84.03
47,8.62,0.007,50.95
48,6.68,0.084,142.92
49,3.76,0.055,114.35
50,9.11,0.062,51.3
51,8.5,0.068,72.97
52,6.13,0.05,102.97
53,3.06,0.001,104.41
54,8.92,0.034,129.57
55,8.36,0.096,100.29
56,9.94,0.059,69.65
57,3.44,0.009,75.06
58,3.62,0.002,32.02
59,8.37,0.095,102.2
