timestamp,throughput,loss_rate,rtt
0,4.01,0.024,127.94
1,7.4,0.081,43.52
2,4.39,0.044,120.67
3,7.57,0.078,100.25
4,5.9,0.036,128.89
5,8.97,0.019,51.58
6,8.8,0.079,53.26
7,5.68,0.011,110.11
8,8.99,0.029,131.44
9,9.21,0.096,37.82
10,4.21,0.054,96.03
11,5.53,0.09,147.72
12,9.42,0.039,139.05
13,6.63,0.03,45.57
14,7.71,0.025,34.98
15,6.95,0.011,138.01
16,6.28,0.009,145.75
17,7.28,0.015,36.27
18,9.98,0.064,37.01
19,4.0,0.095,66.67
20,9.85,0.012,64.15
21,6.64,0.019,30.35
22,5.24,0.049,141.42
23,4.89,0.016,68.59
24,3.81,0.078,63.48
25,8.81,0.095,47.23
26,6.31,0.056,137.74
27,5.49,0.013,110.79
28,5.12,0.018,126.82
29,9.11,0.079,65.95
30,7.15,0.021,84.21
31,6.17,0.068,95.44
32,9.12,0.005,94.99
33,6.91,0.02,132.21
34,8.39,0.006,46.64
35,6.12,0.0,36.11
36,5.46,0.014,54.92
37,7.27,0.078,105.22
38,3.09,0.015,46.1
39,9.12,0.083,92.39
40,9.78,0.087,134.8
41,6.44,0.022,145.56
42,6.56,0.019,103.55
43,4.16,0.063,148.5
44,8.3,0.055,37.58
45,9.03,0.005,112.3
46,8.71,0.053,112.82
47,3.73,0.005,85.85
48,4.13,0.057,111.81
49,9.35,0.095,103.51
50,3.57,0.063,80.48
51,8.66,0.023,75.37
52,7.57,0.084,54.28
53,5.95,0.016,148.66
54,7.6,0.094,105.61
55,9.95,0.065,106.53
56,8.07,0.073,81.91
57,6.15,0.066,121.5
58,3.53,0.034,106.52
59,6.93,0.074,110.81
